pub_agency_name,agency_type_name,pub_agency_unit,officer_ct
Post,City,NA,NA
Chillicothe,City,NA,NA
Cumby,City,NA,NA
San Patricio,County,NA,NA
Albany,City,NA,NA
Happy,City,NA,NA
Richwood,City,NA,NA
Goliad,City,NA,NA
Caddo Mills,City,NA,NA
Encinal,City,NA,NA
Winters,City,NA,NA
Stonewall,County,NA,NA
Brazoria,City,NA,NA
Estelline,City,NA,NA
Edinburg,City,NA,NA
Progreso,City,NA,NA
Hawk Cove,City,NA,NA
Anson,City,NA,NA
Cleveland,City,NA,NA
Stratford,City,NA,NA
Brenham,City,NA,NA
Alto,City,NA,NA
Anna,City,NA,NA
Crockett,County,NA,NA
San Elizario,City,NA,NA
Lott,City,NA,NA
Bonham,City,NA,NA
Mitchell,County,NA,NA
Roman Forest,City,NA,NA
Patton Village,City,NA,NA
Sherman,County,NA,NA
Euless,City,NA,NA
Marshall Creek,City,NA,NA
Silsbee,City,NA,NA
Seven Points,City,NA,NA
Milam,County,NA,NA
Orange,County,NA,NA
Roberts,County,NA,NA
Overton,City,NA,NA
Atlanta,City,NA,NA
Carrizo Springs,City,NA,NA
Santa Fe,City,NA,NA
Mart,City,NA,NA
Roscoe,City,NA,NA
Panola,County,NA,NA
Zavalla,City,NA,NA
Meridian,City,NA,NA
Chambers,County,NA,NA
Edwards,County,NA,NA
Mercedes,City,NA,NA
Beaumont,City,NA,NA
Junction,City,NA,NA
Bellmead,City,NA,NA
Madisonville,City,NA,NA
Newton,County,NA,NA
Crystal City,City,NA,NA
Atascosa,County,NA,NA
Holland,City,NA,NA
Brazoria,County,NA,NA
Wellington,City,NA,NA
New Braunfels,City,NA,NA
Hale Center,City,NA,NA
Coffee City,City,NA,NA
Log Cabin,City,NA,NA
Bowie,City,NA,NA
Emory,City,NA,NA
Big Lake,City,NA,NA
Ballinger,City,NA,NA
Troup,City,NA,NA
Whitehouse,City,NA,NA
Sutton,County,NA,NA
Point Comfort,City,NA,NA
Cockrell Hill,City,NA,NA
Cooper,City,NA,NA
West University Place,City,NA,NA
Idalou,City,NA,NA
Stanton,City,NA,NA
Oak Ridge North,City,NA,NA
Presidio,City,NA,NA
Vernon,City,NA,NA
Andrews,City,NA,NA
Southside Place,City,NA,NA
Sunrise Beach Village,City,NA,NA
Hondo,City,NA,NA
Rio Bravo,City,NA,NA
Valley Mills,City,NA,NA
Brookside Village,City,NA,NA
Los Fresnos,City,NA,NA
Hamilton,County,NA,NA
Ropesville,City,NA,NA
Quinlan,City,NA,NA
Premont,City,NA,NA
Earth,City,NA,NA
Olton,City,NA,NA
Mason,County,NA,NA
Luling,City,NA,NA
Galveston,County,NA,NA
Gray,County,NA,NA
Lumberton,City,NA,NA
Weslaco,City,NA,NA
Alton,City,NA,NA
Jacksboro,City,NA,NA
Karnes City,City,NA,NA
Sansom Park Village,City,NA,NA
Mustang Ridge,City,NA,NA
Canton,City,NA,NA
Ames,City,NA,NA
Uvalde,City,NA,NA
Webb,County,NA,NA
Port Mansfield,City,NA,NA
Little River-Academy Police Department,City,NA,NA
Marion,City,NA,NA
Elsa,City,NA,NA
Kempner,City,NA,NA
Rockwall,County,NA,NA
White Settlement,City,NA,NA
Poth,City,NA,NA
La Vernia,City,NA,NA
Lytle,City,NA,NA
Columbus,City,NA,NA
Wortham,City,NA,NA
Rogers,City,NA,NA
Lockney,City,NA,NA
Whitewright,City,NA,NA
Howe,City,NA,NA
Leon,County,NA,NA
Sunray,City,NA,NA
Dalhart,City,NA,NA
Jasper,County,NA,NA
Kimble,County,NA,NA
Garrison,City,NA,NA
Tyler,City,NA,NA
Woodville,City,NA,NA
Boyd,City,NA,NA
Archer,County,NA,NA
Glasscock,County,NA,NA
Groves,City,NA,NA
West Orange,City,NA,NA
Richland Hills,City,NA,NA
Merkel,City,NA,NA
Wink,City,NA,NA
Whitesboro,City,NA,NA
Lone Oak,City,NA,NA
San Augustine,County,NA,NA
Kress,City,NA,NA
Floresville,City,NA,NA
Wood,County,NA,NA
Wallis,City,NA,NA
Troy,City,NA,NA
Primera,City,NA,NA
Balch Springs,City,NA,NA
Clarksville,City,NA,NA
Bremond,City,NA,NA
Center,City,NA,NA
Tye,City,NA,NA
Delta,County,NA,NA
Benavides,City,NA,NA
Ennis,City,NA,NA
Goliad,County,NA,NA
Tom Bean,City,NA,NA
Howard,County,NA,NA
Laredo,City,NA,NA
Baird,City,NA,NA
Concho,County,NA,NA
Lamesa,City,NA,NA
Hickory Creek,City,NA,NA
Pampa,City,NA,NA
Kirbyville,City,NA,NA
Maverick,County,NA,NA
Ore City,City,NA,NA
Wheeler,County,NA,NA
Anderson,County,NA,NA
Alvin,City,NA,NA
Bartonville,City,NA,NA
Marlin,City,NA,NA
Fisher,County,NA,NA
Needville,City,NA,NA
Navarro,County,NA,NA
Throckmorton,County,NA,NA
Trinity,City,NA,NA
Hawkins,City,NA,NA
Falls,County,NA,NA
League City,City,NA,NA
Lakeport,City,NA,NA
Lacoste,City,NA,NA
Woodbranch,City,NA,NA
Holliday,City,NA,NA
Anthony,City,NA,NA
Leonard,City,NA,NA
Carmine,City,NA,NA
Baytown,City,NA,NA
Gun Barrel City,City,NA,NA
Ganado,City,NA,NA
Pear Ridge,City,NA,NA
Mathis,City,NA,NA
Port Isabel,City,NA,NA
Indian Lake,City,NA,NA
Jamaica Beach,City,NA,NA
Hall,County,NA,NA
Rule,City,NA,NA
Whitney,City,NA,NA
Cotulla,City,NA,NA
Ransom Canyon,City,NA,NA
Menard,County,NA,NA
"Reno, Parker County",City,NA,NA
Reagan,County,NA,NA
Calhoun,County,NA,NA
Wells,City,NA,NA
Henrietta,City,NA,NA
Coke,County,NA,NA
San Juan,City,NA,NA
Natalia,City,NA,NA
Marfa,City,NA,NA
Mineola,City,NA,NA
Colorado,County,NA,NA
Dallam,County,NA,NA
Spur,City,NA,NA
Mission,City,NA,NA
Irion,County,NA,NA
Hawley,City,NA,NA
Cottle,County,NA,NA
Shoreacres,City,NA,NA
Tolar,City,NA,NA
Kingsville,City,NA,NA
Bay City,City,NA,NA
Stagecoach,City,NA,NA
Lone Star,City,NA,NA
Danbury,City,NA,NA
Childress,County,NA,NA
Freer,City,NA,NA
Ector,County,NA,NA
Humble,City,NA,NA
Munday,City,NA,NA
O'Donnell,City,NA,NA
Friona,City,NA,NA
Palmer,City,NA,NA
Memphis,City,NA,NA
Devine,City,NA,NA
Heath,City,NA,NA
South Padre Island,City,NA,NA
Childress,City,NA,NA
Kleburg,City,NA,NA
Kountze,City,NA,NA
Palmview,City,NA,NA
Palmhurst,City,NA,NA
Wolfe City,City,NA,NA
Normangee,City,NA,NA
San Saba,County,NA,NA
Victoria,City,NA,NA
Celeste,City,NA,NA
Live Oak,County,NA,NA
Morris,County,NA,NA
Bovina,City,NA,NA
Bexar,County,NA,NA
Falfurrias,City,NA,NA
Seadrift,City,NA,NA
Combes,City,NA,NA
Palm Valley,City,NA,NA
Fort Gates,City,NA,NA
Duncanville,City,NA,NA
El Paso,County,NA,NA
Southmayd,City,NA,NA
Alamo,City,NA,NA
San Saba,City,NA,NA
Snyder,City,NA,NA
La Grulla,City,NA,NA
San Angelo Park,City,NA,NA
Bee Cave,City,NA,NA
Armstrong,County,NA,NA
Bartlett,City,NA,NA
Petersburg,City,NA,NA
Pasadena,City,NA,NA
Grapeland,City,NA,NA
Hudspeth,County,NA,NA
Jefferson,County,NA,NA
Moulton,City,NA,NA
Lexington,City,NA,NA
Marion,County,NA,NA
Mills,County,NA,NA
Rose City,City,NA,NA
Hudson Oaks,City,NA,NA
Parmer,County,NA,NA
Canyon,City,NA,NA
Lake City,City,NA,NA
Westworth,City,NA,NA
Del Rio,City,NA,NA
Hempstead,City,NA,NA
Alpine,City,NA,NA
Cochran,County,NA,NA
Lorenzo,City,NA,NA
Socorro,City,NA,NA
Frio,County,NA,NA
Crystal Beach,City,NA,NA
Quanah,City,NA,NA
Harris,County,NA,NA
Edcouch,City,NA,NA
Ochiltree,County,NA,NA
Carthage,City,NA,NA
Hearne,City,NA,NA
East Mountain,City,NA,NA
Shamrock,City,NA,NA
Alba,City,NA,NA
Wilmer,City,NA,NA
Gruver,City,NA,NA
Big Sandy,City,NA,NA
Edgewood,City,NA,NA
Decatur,City,NA,NA
Los Indios,City,NA,NA
Seagoville,City,NA,NA
Bayou Vista,City,NA,NA
Dawson,City,NA,NA
Kerens,City,NA,NA
Bishop,City,NA,NA
Southlake,City,NA,NA
Monahans,City,NA,NA
Runaway Bay,City,NA,NA
Bloomburg,City,NA,NA
Eagle Lake,City,NA,NA
Pilot Point,City,NA,NA
Kemp,City,NA,NA
Mexia,City,NA,NA
Rollingwood,City,NA,NA
Upton,County,NA,NA
Iowa Park,City,NA,NA
Zavala,County,NA,NA
Smithville,City,NA,NA
Bell,County,NA,NA
San Benito,City,NA,NA
Hemphill,County,NA,NA
Hamlin,City,NA,NA
Slaton,City,NA,NA
Eagle Pass,City,NA,NA
Omaha,City,NA,NA
Motley,County,NA,NA
Springtown,City,NA,NA
Martindale,City,NA,NA
White Oak,City,NA,NA
Loving,County,NA,NA
Pflugerville,City,NA,NA
Mont Belvieu,City,NA,NA
Rusk,City,NA,NA
Memorial Villages,City,NA,NA
Jim Wells,County,NA,NA
New Deal,City,NA,NA
McCulloch,County,NA,NA
St. Jo,City,NA,NA
Blue Mound,City,NA,NA
Ward,County,NA,NA
Wharton,City,NA,NA
Hudson,City,NA,NA
De Kalb,City,NA,NA
Linden,City,NA,NA
Aubrey,City,NA,NA
Foard,County,NA,NA
Lavaca,County,NA,NA
Nocona,City,NA,NA
Magnolia,City,NA,NA
Shenandoah,City,NA,NA
San Jacinto,County,NA,NA
Hart,City,NA,NA
Farmers Branch,City,NA,NA
Sanger,City,NA,NA
Taylor Lake Village,City,NA,NA
La Salle,County,NA,NA
Constable,City,NA,NA
McCamey,City,NA,NA
Coleman,City,NA,NA
Valley View,City,NA,NA
Floyd,County,NA,NA
Gunter,City,NA,NA
La Villa,City,NA,NA
Hood,County,NA,NA
Jones,County,NA,NA
Kenedy,City,NA,NA
Liberty,County,NA,NA
Mineral Wells,City,NA,NA
Gregory,City,NA,NA
Bullard,City,NA,NA
Tyler,County,NA,NA
Early,City,NA,NA
Dimmitt,City,NA,NA
Oak Ridge,City,NA,NA
The Colony,City,NA,NA
Haskell,County,NA,NA
Covington,City,NA,NA
Sundown,City,NA,NA
Hutchinson,County,NA,NA
Stinnett,City,NA,NA
Nederland,City,NA,NA
Nueces,County,NA,NA
Surfside Beach,City,NA,NA
Crosbyton,City,NA,NA
Glenn Heights,City,NA,NA
Tenaha,City,NA,NA
Waller,County,NA,NA
Rio Hondo,City,NA,NA
Duval,County,NA,NA
Canadian,City,NA,NA
Tool,City,NA,NA
Hubbard,City,NA,NA
Joshua,City,NA,NA
Keene,City,NA,NA
Culberson,County,NA,NA
Seminole,City,NA,NA
Hico,City,NA,NA
La Joya,City,NA,NA
Brackettville,City,NA,NA
Bruceville-Eddy,City,NA,NA
Midland,County,NA,NA
Farwell,City,NA,NA
Raymondville,City,NA,NA
Denver City,City,NA,NA
Austin,County,NA,NA
Jones Creek,City,NA,NA
Little Elm,City,NA,NA
Dilley,City,NA,NA
Hallettsville,City,NA,NA
Jefferson,City,NA,NA
Martin,County,NA,NA
Henderson,City,NA,NA
Terrell,County,NA,NA
Granger,City,NA,NA
Winkler,County,NA,NA
Lake Jackson,City,NA,NA
Hedwig Village,City,NA,NA
Hallsville,City,NA,NA
Amarillo,City,NA,NA
Eden,City,NA,NA
Ovilla,City,NA,NA
Berryville,City,NA,NA
Lometa,City,NA,NA
Beverly Hills,City,NA,NA
Pantego,City,NA,NA
Angelina,County,NA,NA
Muleshoe,City,NA,NA
Johnson City,City,NA,NA
Bangs,City,NA,NA
Clint,City,NA,NA
Caney City,City,NA,NA
Lakeview,City,NA,NA
Godley,City,NA,NA
Lubbock,County,NA,NA
Elkhart,City,NA,NA
Elmendorf Police Department,City,NA,NA
Burnet,City,NA,NA
Fairview,City,NA,NA
Orange Grove,City,NA,NA
Shiner,City,NA,NA
Buffalo Springs Lake,City,NA,NA
Lynn,County,NA,NA
Midland,City,NA,NA
Pelican Bay,City,NA,NA
Washington,County,NA,NA
Morton,City,NA,NA
Arcola,City,NA,NA
Big Spring,City,NA,NA
West Tawakoni,City,NA,NA
Kaufman,City,NA,NA
Pecos,County,NA,NA
Brownfield,City,NA,NA
Huntsville,City,NA,NA
Huntington,City,NA,NA
Brewster,County,NA,NA
Trenton,City,NA,NA
Kendleton,City,NA,NA
Liberty,City,NA,NA
Newton,City,NA,NA
Presidio,County,NA,NA
Swisher,County,NA,NA
